Latitude,Longitude,Report_Type,Days_Since_Last_Issue,Predicted_Severity
29.00495,73.711758,Contamination,0,High
27.434836,77.519013,Leak,25,Medium
8.246912,96.478257,Contamination,26,Critical
33.760791,80.701119,Shortage,45,High
23.641287,83.94216,Leak,48,Medium
9.219225,75.109859,Shortage,13,High
22.664303,87.443464,Leak,29,Medium
22.301513,84.491611,Shortage,35,High
26.30132,77.585642,Contamination,37,Critical
11.362269,82.753012,Shortage,2,Medium
14.860279,72.948802,Contamination,47,Critical
30.454107,87.845224,Leak,48,Medium
10.258893,95.099966,Contamination,55,Critical
17.006281,70.527225,Contamination,54,Critical
20.754327,72.801234,Leak,38,Medium
31.988081,91.247576,Shortage,10,High
31.760182,92.144269,Leak,49,Medium
18.931673,77.840586,Contamination,59,Critical
24.275434,89.209933,Contamination,60,Critical
33.788441,93.802782,Contamination,37,Critical
19.135434,85.257401,Shortage,24,High
25.235891,91.385701,Shortage,45,High
22.066509,82.765274,Leak,39,Medium
33.377607,92.929942,Contamination,14,Critical
21.330914,77.391882,Leak,56,Medium
9.188356,93.603244,Shortage,32,High
9.003246,96.948527,Contamination,19,Critical
19.939379,88.610336,Shortage,14,High
13.716932,68.187784,Leak,41,Medium
18.976303,75.681185,Contamination,22,Critical
33.875913,90.585613,Shortage,40,High
27.735393,92.803026,Contamination,43,Critical
32.781097,72.090699,Contamination,47,Critical
21.002693,90.221466,Shortage,12,High
10.320028,91.441393,Shortage,49,High
29.340687,89.615475,Shortage,12,High
15.682454,84.375193,Leak,40,Medium
23.461194,81.78346,Contamination,15,Critical
11.704412,89.295824,Contamination,50,Critical
23.762216,75.016629,Shortage,54,High
14.997932,86.759009,Shortage,16,High
12.122536,72.081827,Shortage,13,High
10.903594,78.934182,Shortage,39,High
18.705494,69.987671,Shortage,22,High
25.037439,71.908521,Shortage,4,Medium
21.325909,82.639454,Shortage,47,High
18.175578,85.256832,Contamination,18,Critical
28.896706,81.398885,Contamination,43,Critical
20.648122,81.86584,Leak,18,Medium
27.35618,68.467061,Shortage,1,Medium
32.465486,85.223699,Leak,12,Medium
23.756053,94.235429,Leak,22,Medium
12.352486,74.39516,Shortage,21,High
29.433627,83.070874,Contamination,1,High
11.816004,84.41379,Leak,57,Medium
16.701242,87.15921,Leak,2,Low
13.994874,77.330529,Shortage,5,Medium
16.196924,78.324643,Leak,35,Medium
8.048127,78.92952,Shortage,33,High
24.591301,94.63642,Contamination,2,High
28.719182,84.452833,Contamination,14,Critical
15.733929,68.207172,Shortage,40,High
30.653229,73.373313,Shortage,29,High
24.116289,69.76409,Contamination,42,Critical
8.317414,76.095145,Contamination,32,Critical
19.242153,92.040282,Contamination,56,Critical
35.356271,75.504761,Shortage,54,High
25.877541,82.974936,Contamination,56,Critical
8.121311,75.825017,Leak,33,Medium
14.621097,72.569133,Leak,34,Medium
20.580183,71.496948,Shortage,38,High
36.759393,94.149671,Shortage,48,High
17.349187,81.155414,Contamination,60,Critical
11.603558,79.546196,Contamination,32,Critical
13.033182,90.413248,Leak,29,Medium
29.975371,80.441282,Leak,21,Medium
8.675604,93.693206,Leak,50,Medium
28.036391,75.498014,Shortage,24,High
11.761943,73.906283,Leak,41,Medium
13.132683,90.535927,Leak,57,Medium
8.784858,85.894372,Leak,7,Low
10.922038,80.688666,Shortage,2,Medium
15.75168,75.701943,Contamination,22,Critical
16.166101,90.01499,Contamination,31,Critical
28.760018,78.46363,Contamination,29,Critical
17.623825,79.932458,Shortage,22,High
22.859347,79.297353,Shortage,36,High
22.577031,86.818039,Leak,2,Low
28.559338,71.433502,Shortage,0,Medium
32.280763,71.481944,Contamination,52,Critical
18.546038,78.369429,Leak,19,Medium
16.700302,81.112643,Contamination,14,Critical
25.803147,87.096767,Shortage,10,High
20.827994,73.344961,Leak,17,Medium
16.046105,76.366017,Contamination,36,Critical
27.14273,73.291002,Contamination,8,Critical
23.197313,74.086104,Contamination,28,Critical
21.318767,87.630633,Contamination,59,Critical
9.84357,80.579988,Shortage,58,High
28.670486,85.477759,Shortage,25,High
36.74095,73.171106,Shortage,58,High
8.839695,92.714106,Shortage,2,Medium
33.387493,78.757352,Leak,27,Medium
28.279964,80.668679,Contamination,12,Critical
15.190192,82.615475,Contamination,2,High
29.939612,79.89827,Shortage,57,High
24.633597,68.003809,Leak,17,Medium
13.272333,82.542387,Contamination,7,Critical
18.554416,93.661746,Leak,47,Medium
22.333768,95.602682,Shortage,39,High
35.434816,78.911373,Leak,30,Medium
16.789666,80.447199,Shortage,33,High
34.606835,82.401515,Shortage,8,High
30.915797,84.938306,Leak,29,Medium
10.695097,80.418899,Shortage,51,High
34.747976,79.583617,Shortage,20,High
10.592128,90.629602,Leak,60,Medium
29.565296,93.123862,Shortage,56,High
26.417335,75.197566,Contamination,42,Critical
16.595673,73.229545,Shortage,4,Medium
16.579479,92.670104,Leak,1,Low
28.93567,83.486188,Contamination,25,Critical
35.057632,91.922176,Leak,52,Medium
28.731608,74.854413,Shortage,31,High
13.226909,72.483608,Shortage,8,High
28.08612,83.420479,Shortage,22,High
31.899922,68.1477,Contamination,19,Critical
17.063789,72.856365,Contamination,13,Critical
